time	V(n002)	V(n002)/V(n012)	V(n012)
Step Information: Temp=10  (Run: 1/8)
3.131314998978197e-009	-7.999997e+000	4.004282e+002	-1.997861e-002
3.185219590249631e-009	-7.999997e+000	3.942070e+002	-2.029390e-002
3.338510771677770e-009	-7.999997e+000	3.776213e+002	-2.118524e-002
3.468218694424656e-009	-7.999997e+000	3.647267e+002	-2.193422e-002
3.602980172603240e-009	-7.999997e+000	3.523066e+002	-2.270749e-002
3.704051281237178e-009	-7.999997e+000	3.435858e+002	-2.328384e-002
3.811860463780045e-009	-7.999997e+000	3.348002e+002	-2.389484e-002
4.027478828865779e-009	-7.999997e+000	3.185832e+002	-2.511117e-002
4.043106731614154e-009	-7.999997e+000	3.174735e+002	-2.519894e-002
4.074362537110904e-009	-7.999997e+000	3.152856e+002	-2.537381e-002
4.136874148104403e-009	-7.999997e+000	3.110050e+002	-2.572305e-002
4.173502045170906e-009	-7.999997e+000	3.085560e+002	-2.592721e-002
4.206528199025873e-009	-7.999997e+000	3.063845e+002	-2.611097e-002
4.225574705500455e-009	-7.999997e+000	3.051476e+002	-2.621681e-002
4.232255108710911e-009	-7.999997e+000	3.047164e+002	-2.625391e-002
4.232256889399673e-009	-7.999997e+000	3.047162e+002	-2.625392e-002
4.232258617934371e-009	-7.999997e+000	3.047161e+002	-2.625393e-002
4.232259571608687e-009	-7.999997e+000	3.047161e+002	-2.625394e-002
4.232262134608411e-009	-7.999997e+000	3.047159e+002	-2.625395e-002
4.232262343224667e-009	-7.999997e+000	3.047159e+002	-2.625395e-002
4.248619809803151e-009	-7.999997e+000	3.036657e+002	-2.634475e-002
4.272057309803151e-009	-7.999997e+000	3.021752e+002	-2.647469e-002
4.303307309803151e-009	-7.999997e+000	3.002137e+002	-2.664768e-002
4.381432309803151e-009	-7.999997e+000	2.954279e+002	-2.707935e-002
4.475182309803151e-009	-7.999997e+000	2.899060e+002	-2.759515e-002
4.564049497303152e-009	-7.999997e+000	2.848789e+002	-2.808210e-002
4.674654260334158e-009	-7.999997e+000	2.788882e+002	-2.868531e-002
4.798876062091971e-009	-7.999997e+000	2.724876e+002	-2.935912e-002
4.966783776935722e-009	-7.999997e+000	2.643425e+002	-3.026376e-002
5.092821374591973e-009	-7.999997e+000	2.585803e+002	-3.093815e-002
5.202196374591973e-009	-7.999997e+000	2.538045e+002	-3.152031e-002
5.264696374591972e-009	-7.999997e+000	2.511667e+002	-3.185134e-002
5.389696374591973e-009	-7.999997e+000	2.460789e+002	-3.250989e-002
5.639696374591972e-009	-7.999997e+000	2.365940e+002	-3.381319e-002
6.139696374591973e-009	-7.999997e+000	2.198369e+002	-3.639060e-002
6.247762552020289e-009	-7.999997e+000	2.165627e+002	-3.694078e-002
6.463894906876920e-009	-7.999997e+000	2.103816e+002	-3.802612e-002
6.896159616590184e-009	-7.999997e+000	1.992037e+002	-4.015987e-002
7.760689036016710e-009	-7.999997e+000	1.805523e+002	-4.430846e-002
8.898538851986038e-009	-7.999996e+000	1.611984e+002	-4.962826e-002
8.945960528727028e-009	-7.999996e+000	1.605053e+002	-4.984257e-002
8.986973870773290e-009	-7.999996e+000	1.599124e+002	-5.002738e-002
9.069000554865812e-009	-7.999996e+000	1.587432e+002	-5.039583e-002
9.233053923050855e-009	-7.999996e+000	1.564696e+002	-5.112813e-002
9.561160659420942e-009	-7.999996e+000	1.521644e+002	-5.257471e-002
1.021737413216112e-008	-7.999996e+000	1.444075e+002	-5.539875e-002
1.152980107764147e-008	-7.999996e+000	1.313631e+002	-6.089989e-002
1.185790781401155e-008	-7.999996e+000	1.285445e+002	-6.223524e-002
1.251412128675173e-008	-7.999996e+000	1.234215e+002	-6.481852e-002
1.382654823223208e-008	-7.999996e+000	1.145055e+002	-6.986560e-002
1.415465496860216e-008	-7.999996e+000	1.125280e+002	-7.109337e-002
1.481086844134234e-008	-7.999996e+000	1.088488e+002	-7.349642e-002
1.576835374891843e-008	-7.999995e+000	1.040185e+002	-7.690932e-002
1.667449227475301e-008	-7.999995e+000	9.995232e+001	-8.003812e-002
1.712499820379240e-008	-7.999995e+000	9.808457e+001	-8.156222e-002
1.903634097556317e-008	-7.999995e+000	9.112258e+001	-8.779377e-002
2.002066118467343e-008	-7.999995e+000	8.805412e+001	-9.085315e-002
2.133308813015378e-008	-7.999994e+000	8.440543e+001	-9.478056e-002
2.395794202111448e-008	-7.999994e+000	7.828158e+001	-1.021951e-001
2.920764980303588e-008	-7.999993e+000	6.910638e+001	-1.157634e-001
3.818091706734093e-008	-7.999992e+000	5.854037e+001	-1.366577e-001
4.784197116884382e-008	-7.999990e+000	5.095274e+001	-1.570081e-001
5.969298636704111e-008	-7.999989e+000	4.442622e+001	-1.800736e-001
7.298043920292841e-008	-7.999987e+000	3.909733e+001	-2.046172e-001
9.172478791136463e-008	-7.999984e+000	3.362284e+001	-2.379330e-001
1.173936873225495e-007	-7.999979e+000	2.832018e+001	-2.824834e-001
1.192096976523073e-007	-7.999979e+000	2.801310e+001	-2.855799e-001
1.199361017842104e-007	-7.999979e+000	2.789308e+001	-2.868088e-001
1.214537877485944e-007	-7.999979e+000	2.764578e+001	-2.893744e-001
1.253632625513160e-007	-7.999979e+000	2.703050e+001	-2.959611e-001
1.303572909581500e-007	-7.999978e+000	2.628682e+001	-3.043341e-001
1.329947254946021e-007	-7.999977e+000	2.591196e+001	-3.087369e-001
1.345512989734279e-007	-7.999977e+000	2.569621e+001	-3.113291e-001
1.350484406684370e-007	-7.999977e+000	2.562813e+001	-3.121561e-001
1.371408428047307e-007	-7.999977e+000	2.534595e+001	-3.156314e-001
1.404164015382573e-007	-7.999976e+000	2.491775e+001	-3.210554e-001
1.431545907585360e-007	-7.999976e+000	2.457195e+001	-3.255734e-001
1.459240065114166e-007	-7.999975e+000	2.423283e+001	-3.301296e-001
1.481032189071260e-007	-7.999975e+000	2.397338e+001	-3.337024e-001
1.510088354347385e-007	-7.999975e+000	2.363671e+001	-3.384556e-001
1.531880478304479e-007	-7.999974e+000	2.339118e+001	-3.420081e-001
1.560936643580604e-007	-7.999974e+000	2.307286e+001	-3.467265e-001
1.619048974132854e-007	-7.999973e+000	2.246530e+001	-3.561035e-001
1.735273635237354e-007	-7.999971e+000	2.134882e+001	-3.747267e-001
1.764329800513479e-007	-7.999970e+000	2.108890e+001	-3.793450e-001
1.822442131065728e-007	-7.999969e+000	2.059229e+001	-3.884934e-001
1.938666792170228e-007	-7.999968e+000	1.967235e+001	-4.066605e-001
1.974986998765385e-007	-7.999967e+000	1.940368e+001	-4.122912e-001
1.989515081403447e-007	-7.999967e+000	1.929891e+001	-4.145294e-001
2.076683577231822e-007	-7.999966e+000	1.869818e+001	-4.278473e-001
2.192908238336322e-007	-7.999964e+000	1.796546e+001	-4.452970e-001
