time	V(n002)	V(n002)/V(n012)	V(n012)
Step Information: Temp=10  (Run: 1/8)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000013351432e-010	-2.791991e+001	8.930838e+003	-3.126236e-003
1.125000015020361e-010	-2.962380e+001	8.480318e+003	-3.493241e-003
1.283691421270361e-010	-2.974516e+001	7.573208e+003	-3.927683e-003
1.322753921270361e-010	-2.976752e+001	7.380509e+003	-4.033261e-003
1.325195327520361e-010	-2.976875e+001	7.368817e+003	-4.039828e-003
1.327636733770361e-010	-2.976993e+001	7.357170e+003	-4.046383e-003
1.330078140020361e-010	-2.977101e+001	7.345575e+003	-4.052917e-003
1.369140640020360e-010	-2.978142e+001	7.166620e+003	-4.155574e-003
1.837890640020361e-010	-2.981977e+001	5.568223e+003	-5.355347e-003
3.087890640020361e-010	-2.984303e+001	3.507886e+003	-8.507413e-003
3.244140640020360e-010	-2.984347e+001	3.353395e+003	-8.899481e-003
3.556640640020361e-010	-2.984372e+001	3.082501e+003	-9.681655e-003
4.181640640020361e-010	-2.984381e+001	2.654890e+003	-1.124107e-002
4.991807729224492e-010	-2.984385e+001	2.251615e+003	-1.325442e-002
5.884759284495750e-010	-2.984391e+001	1.929750e+003	-1.546517e-002
6.107997173313565e-010	-2.984393e+001	1.863392e+003	-1.601592e-002
6.554472950949195e-010	-2.984395e+001	1.743870e+003	-1.711364e-002
7.447424506220453e-010	-2.984400e+001	1.546410e+003	-1.929889e-002
9.233327616762971e-010	-2.984408e+001	1.262954e+003	-2.363038e-002
1.243394264783205e-009	-2.984421e+001	9.536721e+002	-3.129399e-002
1.575637006762010e-009	-2.984431e+001	7.622430e+002	-3.915328e-002
1.702661129833013e-009	-2.984435e+001	7.087958e+002	-4.210571e-002
1.910428613405117e-009	-2.984440e+001	6.364694e+002	-4.689055e-002
2.067450912083925e-009	-2.984444e+001	5.913308e+002	-5.046995e-002
2.213127843940892e-009	-2.984447e+001	5.551157e+002	-5.376261e-002
2.300656877063973e-009	-2.984449e+001	5.355552e+002	-5.572626e-002
2.417362254561413e-009	-2.984451e+001	5.116847e+002	-5.832598e-002
2.650773009556295e-009	-2.984455e+001	4.702657e+002	-6.346317e-002
3.117594519546057e-009	-2.984463e+001	4.054826e+002	-7.360274e-002
3.234299897043498e-009	-2.984465e+001	3.921771e+002	-7.609992e-002
3.474833782989151e-009	-2.984468e+001	3.675931e+002	-8.118945e-002
3.605783641605398e-009	-2.984470e+001	3.555935e+002	-8.392926e-002
3.744371277383609e-009	-2.984472e+001	3.438092e+002	-8.680604e-002
3.861076654881050e-009	-2.984473e+001	3.345531e+002	-8.920775e-002
4.094487409875931e-009	-2.984476e+001	3.176490e+002	-9.395513e-002
4.561308919865693e-009	-2.984481e+001	2.891022e+002	-1.032327e-001
5.494951939845218e-009	-2.984489e+001	2.467099e+002	-1.209716e-001
7.362237979804269e-009	-2.984504e+001	1.934761e+002	-1.542570e-001
9.125637820040744e-009	-2.984515e+001	1.628851e+002	-1.832283e-001
1.117490828640766e-008	-2.984525e+001	1.395296e+002	-2.138990e-001
1.326445757434229e-008	-2.984534e+001	1.233186e+002	-2.420181e-001
1.705699687458418e-008	-2.984547e+001	1.033427e+002	-2.888010e-001
1.711306584315276e-008	-2.984547e+001	1.031109e+002	-2.894502e-001
1.713759601690151e-008	-2.984548e+001	1.030140e+002	-2.897226e-001
1.722498476088144e-008	-2.984548e+001	1.026708e+002	-2.906910e-001
1.726353217677233e-008	-2.984548e+001	1.025205e+002	-2.911172e-001
1.731259252426984e-008	-2.984548e+001	1.023302e+002	-2.916587e-001
1.739844813239047e-008	-2.984548e+001	1.019996e+002	-2.926040e-001
1.747400982831297e-008	-2.984549e+001	1.017113e+002	-2.934334e-001
1.754645049766476e-008	-2.984549e+001	1.014372e+002	-2.942262e-001
1.760251946623334e-008	-2.984549e+001	1.012268e+002	-2.948380e-001
1.771465740337049e-008	-2.984549e+001	1.008100e+002	-2.960567e-001
1.799500224621338e-008	-2.984550e+001	9.978840e+001	-2.990879e-001
1.857912700860557e-008	-2.984552e+001	9.775756e+001	-3.053014e-001
1.889325559520511e-008	-2.984553e+001	9.671693e+001	-3.085864e-001
1.911753146947942e-008	-2.984553e+001	9.599591e+001	-3.109042e-001
1.956608321802804e-008	-2.984555e+001	9.460582e+001	-3.154726e-001
2.046318671512529e-008	-2.984557e+001	9.201493e+001	-3.243557e-001
2.225739370931979e-008	-2.984562e+001	8.735653e+001	-3.416530e-001
2.231346267788837e-008	-2.984562e+001	8.722179e+001	-3.421808e-001
2.242560061502552e-008	-2.984562e+001	8.695794e+001	-3.432190e-001
2.250970406787839e-008	-2.984562e+001	8.676179e+001	-3.439950e-001
2.262184200501555e-008	-2.984562e+001	8.650267e+001	-3.450255e-001
2.284611787928986e-008	-2.984563e+001	8.599235e+001	-3.470731e-001
2.340680756497564e-008	-2.984564e+001	8.475315e+001	-3.521479e-001
2.368715240781853e-008	-2.984565e+001	8.415491e+001	-3.546513e-001
2.409365242994072e-008	-2.984566e+001	8.331113e+001	-3.582433e-001
2.463331625241329e-008	-2.984567e+001	8.223208e+001	-3.629444e-001
2.539624982875250e-008	-2.984569e+001	8.077974e+001	-3.694700e-001
2.614599433008785e-008	-2.984571e+001	7.943077e+001	-3.757449e-001
2.681882195291079e-008	-2.984572e+001	7.828416e+001	-3.812485e-001
2.771592545000803e-008	-2.984574e+001	7.684222e+001	-3.884028e-001
2.951013244420253e-008	-2.984577e+001	7.421642e+001	-4.021451e-001
3.309854643259152e-008	-2.984584e+001	6.965630e+001	-4.284729e-001
3.399564992968877e-008	-2.984585e+001	6.864926e+001	-4.347586e-001
3.578985692388327e-008	-2.984588e+001	6.678667e+001	-4.468838e-001
3.625242591457404e-008	-2.984589e+001	6.633026e+001	-4.499589e-001
3.628046039885832e-008	-2.984589e+001	6.630312e+001	-4.501431e-001
3.732912532661751e-008	-2.984591e+001	6.531361e+001	-4.569632e-001
3.777767707516614e-008	-2.984592e+001	6.490605e+001	-4.598326e-001
3.867478057226338e-008	-2.984593e+001	6.411773e+001	-4.654864e-001
4.046898756645788e-008	-2.984596e+001	6.263897e+001	-4.764759e-001
4.416953949198403e-008	-2.984601e+001	5.986895e+001	-4.985225e-001
4.439381536625835e-008	-2.984602e+001	5.971546e+001	-4.998039e-001
4.574297492243976e-008	-2.984604e+001	5.881801e+001	-5.074303e-001
4.578863362474945e-008	-2.984604e+001	5.878845e+001	-5.076854e-001
4.661237075327631e-008	-2.984605e+001	5.826397e+001	-5.122557e-001
